"severity","type","rule","status","line","effort","message","file"
"MINOR","CODE_SMELL","java:S1128","OPEN","5","1min","Remove this unused import 'org.springframework.security.core.context.SecurityContextHolder'.","src/main/java/com/example/ordermanagement/product/service/ProductService.java"
"CRITICAL","CODE_SMELL","java:S1598","OPEN","1","5min","File path ""\actions-runner\_work\order-management\order-management\src\main\java\com\example\ordermanagement\auth\dto\request"" should match package name ""com.example.ordermanagement.auth.dto"". Move the file or change the package name.","src/main/java/com/example/ordermanagement/auth/dto/request/LoginRequest.java"
"CRITICAL","CODE_SMELL","java:S1598","OPEN","1","5min","File path ""\actions-runner\_work\order-management\order-management\src\main\java\com\example\ordermanagement\auth\dto\request"" should match package name ""com.example.ordermanagement.auth.dto"". Move the file or change the package name.","src/main/java/com/example/ordermanagement/auth/dto/request/RegisterRequest.java"
"CRITICAL","CODE_SMELL","java:S1598","OPEN","1","5min","File path ""\actions-runner\_work\order-management\order-management\src\main\java\com\example\ordermanagement\auth\dto\response"" should match package name ""com.example.ordermanagement.auth.dto"". Move the file or change the package name.","src/main/java/com/example/ordermanagement/auth/dto/response/AuthResponse.java"
"MAJOR","CODE_SMELL","java:S112","OPEN","28","20min","Replace generic exceptions with specific library exceptions or a custom exception.","src/main/java/com/example/ordermanagement/auth/service/AuthService.java"
"MAJOR","CODE_SMELL","java:S112","OPEN","72","20min","Replace generic exceptions with specific library exceptions or a custom exception.","src/main/java/com/example/ordermanagement/inventory/service/impl/InventoryServiceImpl.java"
"MAJOR","CODE_SMELL","java:S112","OPEN","81","20min","Replace generic exceptions with specific library exceptions or a custom exception.","src/main/java/com/example/ordermanagement/inventory/service/impl/InventoryServiceImpl.java"
"MAJOR","CODE_SMELL","java:S112","OPEN","85","20min","Replace generic exceptions with specific library exceptions or a custom exception.","src/main/java/com/example/ordermanagement/inventory/service/impl/InventoryServiceImpl.java"
"MAJOR","CODE_SMELL","java:S112","OPEN","101","20min","Replace generic exceptions with specific library exceptions or a custom exception.","src/main/java/com/example/ordermanagement/inventory/service/impl/InventoryServiceImpl.java"
"MAJOR","CODE_SMELL","java:S112","OPEN","134","20min","Replace generic exceptions with specific library exceptions or a custom exception.","src/main/java/com/example/ordermanagement/inventory/service/impl/InventoryServiceImpl.java"
"MAJOR","CODE_SMELL","java:S112","OPEN","168","20min","Replace generic exceptions with specific library exceptions or a custom exception.","src/main/java/com/example/ordermanagement/inventory/service/impl/InventoryServiceImpl.java"
"MAJOR","CODE_SMELL","java:S112","OPEN","202","20min","Replace generic exceptions with specific library exceptions or a custom exception.","src/main/java/com/example/ordermanagement/inventory/service/impl/InventoryServiceImpl.java"
"MAJOR","CODE_SMELL","java:S107","OPEN","271","20min","Method has 10 parameters, which is greater than 7 authorized.","src/main/java/com/example/ordermanagement/inventory/service/impl/InventoryServiceImpl.java"
"MAJOR","CODE_SMELL","java:S112","OPEN","335","20min","Replace generic exceptions with specific library exceptions or a custom exception.","src/main/java/com/example/ordermanagement/inventory/service/impl/InventoryServiceImpl.java"
"MAJOR","CODE_SMELL","java:S112","OPEN","78","20min","Replace generic exceptions with specific library exceptions or a custom exception.","src/main/java/com/example/ordermanagement/order/service/impl/OrderServiceImpl.java"
"MAJOR","CODE_SMELL","java:S112","OPEN","82","20min","Replace generic exceptions with specific library exceptions or a custom exception.","src/main/java/com/example/ordermanagement/order/service/impl/OrderServiceImpl.java"
"MAJOR","CODE_SMELL","java:S112","OPEN","253","20min","Replace generic exceptions with specific library exceptions or a custom exception.","src/main/java/com/example/ordermanagement/order/service/impl/OrderServiceImpl.java"
"MAJOR","CODE_SMELL","java:S112","OPEN","257","20min","Replace generic exceptions with specific library exceptions or a custom exception.","src/main/java/com/example/ordermanagement/order/service/impl/OrderServiceImpl.java"
"MAJOR","CODE_SMELL","java:S112","OPEN","289","20min","Replace generic exceptions with specific library exceptions or a custom exception.","src/main/java/com/example/ordermanagement/order/service/impl/OrderServiceImpl.java"
"MAJOR","CODE_SMELL","java:S112","OPEN","293","20min","Replace generic exceptions with specific library exceptions or a custom exception.","src/main/java/com/example/ordermanagement/order/service/impl/OrderServiceImpl.java"
"CRITICAL","CODE_SMELL","java:S1598","OPEN","1","5min","File path ""\actions-runner\_work\order-management\order-management\src\main\java\com\example\ordermanagement\payment\dto\request"" should match package name ""com.example.ordermanagement.payment.model.request"". Move the file or change the package name.","src/main/java/com/example/ordermanagement/payment/dto/request/PaymentRequest.java"
"CRITICAL","CODE_SMELL","java:S1598","OPEN","1","5min","File path ""\actions-runner\_work\order-management\order-management\src\main\java\com\example\ordermanagement\payment\dto\response"" should match package name ""com.example.ordermanagement.payment.model.response"". Move the file or change the package name.","src/main/java/com/example/ordermanagement/payment/dto/response/PaymentResponse.java"
"MAJOR","CODE_SMELL","java:S112","OPEN","43","20min","Replace generic exceptions with specific library exceptions or a custom exception.","src/main/java/com/example/ordermanagement/payment/service/impl/PaymentServiceImpl.java"
"MAJOR","CODE_SMELL","java:S112","OPEN","64","20min","Replace generic exceptions with specific library exceptions or a custom exception.","src/main/java/com/example/ordermanagement/payment/service/impl/PaymentServiceImpl.java"
"MAJOR","CODE_SMELL","java:S112","OPEN","49","20min","Replace generic exceptions with specific library exceptions or a custom exception.","src/main/java/com/example/ordermanagement/product/service/impl/ProductCategoryServiceImpl.java"
"CRITICAL","CODE_SMELL","java:S1192","OPEN","53","8min","Define a constant instead of duplicating this literal ""Product not found"" 3 times.","src/main/java/com/example/ordermanagement/product/service/impl/ProductServiceImpl.java"
"MAJOR","CODE_SMELL","java:S112","OPEN","68","20min","Replace generic exceptions with specific library exceptions or a custom exception.","src/main/java/com/example/ordermanagement/product/service/impl/ProductServiceImpl.java"
